schoolName,overallRecord,winPercent,conferenceRecord,conference,state,city,headCoach,coachPhone,nickname,rpiRanking,rosterDistribution,goalsFor,goalsAgainst,description,schoolUrl,schoolSize,undergradPopulation,inStateTuition,outOfStateTuition,address,facultyRatio,acceptanceLevel,acceptanceRate
Memphis (Men's),9-7-2,0.56,2-4-0,American Athletic,Tennessee,Memphis,Richard Mulrooney,901-678-4141,Tigers,Conference Standing: 6,"JR,FR,FR,FR,SO,FR,JR,SR,SR,SO,SR,FR,SO,JR,JR,FR,FR,JR,FR,FR,SO,FR,SR",28,23,"A large, 4-year, public university. This coed college is located in a very large city in an urban setting and is primarily a commuter campus. It offers bachelor's, master's and doctoral degrees.",www.memphis.edu,Large,"17,068","$8,973","$20,685","Wilder Tower, Memphis, TN 38152",16:1,Very selective,30
SMU (Men's),10-6-2,0.63,5-1-1,American Athletic,Texas,Dallas,Kevin Hudson,214-768-4601,Mustangs,Conference Standing: 2,"SO,SO,SR,SO,JR,SO,SO,FR,SO,SR,FR,JR,SO,SO,FR,SR,SO,FR,SR,JR,SO,JR,SR,SO,FR,SO,FR,JR,FR,FR",35,18,"A medium-sized, 4-year, private university. This coed college is located in a very large city in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.smu.edu,Medium-sized,"6,391","$48,190","$48,190","6425 Boaz Lane, Dallas, TX 75205",11:1,Somewhat selective,52
South Florida (Men's),10-7-3,0.59,4-3-1,American Athletic,Florida,Tampa,George Kiefer,813-974-4149,Bulls,Conference Standing: 4,"JR,SO,JR,FR,SR,SO,SR,SO,SR,SR,SR,SO,FR,SR,SO,FR,SR,JR,JR,SR,SR,FR,JR,SO,SO,SO,FR",32,22,"A small, 4-year, public university. This coed college is located in a small city in an urban setting and is primarily a commuter campus. It offers associate, bachelor's and master's degrees.",www.usfsm.edu,Small,"1,770","$5,587","$16,659","8350 North Tamiami Trail, Sarasota, FL 34243",13:1,Very selective,34
Temple (Men's),2-14-2,0.13,1-7-1,American Athletic,Pennsylvania,Philadelphia,David MacWilliams,215-520-3950,Owls,Conference Standing: 8,"FR,SR,SR,SR,JR,SO,SO,JR,FR,FR,SR,SO,FR,FR,FR,FR,FR,FR,SR,SO,FR,SR,FR,FR,JR,FR,FR,SO,FR,JR,FR",13,37,"A large, 4-year, public university. This coed college is located in a very large city in an urban setting and is primarily a commuter campus. It offers certificate, diploma, associate, bachelor's, master's and doctoral degrees.",www.temple.edu,Large,"28,408","$15,096","$25,122","1801 North Broad Street, Philadelphia, PA 19122",14:1,Somewhat selective,62
Tulsa (Men's),11-6-3,0.65,4-2-1,American Athletic,Oklahoma,Tulsa,Tom McIntosh,918-605-6584,Golden Hurricane,Conference Standing: 3,"SO,SO,FR,SR,FR,FR,SR,SR,FR,SR,SO,SO,SR,FR,FR,FR,FR,FR,FR,SR,JR,FR,FR,SO,FR,SO,JR,FR",29,24,"A medium-sized, 4-year, private university. This coed college is located in a large city in an urban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.utulsa.edu,Medium-sized,"3,473","$39,036","$39,036","800 South Tucker Drive, Tulsa, OK 74104",11:1,Very selective,40
UCF (Men's),2-10-6,0.17,1-3-2,American Athletic,Florida,Orlando,Bryan Cunningham,407-823-2262,Knights,Conference Standing: 7,"SR,SR,SO,SR,SO,SO,JR,JR,FR,FR,FR,FR,JR,SO,SR,SO,FR,SO,FR,FR,SO,SO,SO,SO",15,27,"A large, 4-year, public university. This coed college is located in a very large city in a suburban setting and is primarily a residential campus. It offers certificate, associate, bachelor's, master's and doctoral degrees.",www.ucf.edu,Large,"52,532","$6,368","$22,466","4365 Andromeda Loop N, Orlando, FL 32816",31:1,Very selective,50
Davidson (Men's),10-2-6,0.83,4-2-2,Atlantic 10,North Carolina,Davidson,Matt Spear,704-995-3924,Wildcat,Conference Standing: 5,"SR,SR,SR,FR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,JR,SR,SR,JR,SR,JR,SR,SR,JR,JR,JR",28,14,"A small, 4-year, private liberal arts college. This coed college is located in a small town in a suburban setting and is primarily a residential campus. It offers bachelor's degrees.",www.davidson.edu,Small,"1,770","$46,966","$46,966","209 Ridge Road, Davidson, NC 28035",10:1,Most selective,22
Dayton (Men's),7-7-5,0.50,3-3-2,Atlantic 10,Ohio,Dayton,Dennis Currier,937-229-2492,Flyers,Conference Standing: 7,"JR,SR,FR,SO,SO,JR,SR,SO,SO,JR,SO,FR,JR,JR,SR,FR,FR,FR,SO,JR,FR,JR,FR,FR,FR,FR,SR,FR,FR,FR,FR",31,18,"A medium-sized, 4-year, private university. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.udayton.edu,Medium-sized,"8,529","$39,090","$39,090","300 College Park, Dayton, OH 45469",15:1,Somewhat selective,59
Duquesne (Men's),8-7-3,0.53,3-4-1,Atlantic 10,Pennsylvania,Pittsburgh,Chase Brooks,412-396-5242,Dukes,Conference Standing: 9,"SR,SO,SR,JR,JR,SO,SR,SR,SR,JR,SR,SR,JR,SR,SR,JR,JR,SO,SR,SR,SR,SO,SO,SO,SR,SO,JR,JR,JR",32,20,"A medium-sized, 4-year, private university. This coed college is located in a large city in an urban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.duq.edu,Medium-sized,"5,995","$33,778","$33,778","600 Forbes Avenue, Pittsburgh, PA 15282",14:1,Somewhat selective,73
Fordham (Men's),8-9-4,0.47,3-3-2,Atlantic 10,New York,Bronx,Jim McElderry,718-817-4269,Rams,Conference Standing: 6,"SR,SR,SR,SO,JR,SR,SR,JR,SO,SR,JR,SO,SO,JR,JR,SR,SR,JR,JR,SR,SR,SR,SR,JR,JR",19,21,"A medium-sized, 4-year, private university. This coed college is located in a very large city in an urban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.fordham.edu,Medium-sized,"8,633","$47,293","$47,293","441 East Fordham Road, Bronx, NY 10458",14:1,Very selective,48
George Mason (Men's),11-4-5,0.73,4-2-2,Atlantic 10,Virginia,Fairfax,Greg Andrulis,703-993-3288,Patriots,Conference Standing: 4,"SO,FR,JR,SO,JR,FR,SO,FR,JR,SO,SR,JR,FR,SO,SO,FR,SO,JR,FR,JR,FR,FR,SO,JR,JR",29,16,"A large, 4-year, public university. This coed college is located in a large town in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.gmu.edu,Large,"22,343","$10,382","$29,960","4400 University Drive, Fairfax, VA 22030",16:1,Somewhat selective,67
George Washington (Men's),6-9-2,0.40,2-4-2,Atlantic 10,District of Columbia,Washington,Craig Jones,202-994-9779,Colonials,Conference Standing: 10,"JR,JR,JR,FR,FR,SO,SR,FR,SR,FR,JR,JR,FR,SO,SO,SO,JR,SO,JR,JR,FR,JR,SO,SR,SR,SO,SO,JR",17,29,"A medium-sized, 4-year, private university. This coed college is located in a very large city in an urban setting and is primarily a residential campus. It offers certificate, associate, bachelor's, master's and doctoral degrees.",www.gwu.edu/explore,Medium-sized,"10,740","$50,435","$50,435","2121 I Street NW, Washington, DC 20052",--,Very selective,44
La Salle (Men's),7-9-3,0.44,3-3-2,Atlantic 10,Pennsylvania,Philadelphia,Pat Farrell,215-951-1993,Explorers,Conference Standing: 8,"SR,JR,JR,SR,SR,SR,SO,SR,JR,SO,SR,SR,SR,SO,SR,SO,SR,SR,SR,SO,JR,JR,SR,SO,JR,SR,JR,SR",20,24,"A medium-sized, 4-year, private university and liberal arts college. This coed college is located in a very large city in an urban setting and is primarily a residential campus. It offers associate, bachelor's, master's and doctoral degrees.",www.lasalle.edu,Medium-sized,"4,322","$41,100","$41,100","1900 West Olney Avenue, Philadelphia, PA 19141",12:1,Less selective,78
Massachusetts (Men's),3-14-1,0.18,2-5-1,Atlantic 10,Massachusetts,Amherst,Devin O'Neill,915-545-3544,Minutemen,Conference Standing: 12,"FR,FR,FR,JR,SO,SO,JR,FR,FR,SO,JR,SO,SO,FR,SR,JR,SO,FR,FR,FR,SO,SR,JR,JR,FR",17,42,"A small, 2-year, for-profit college of nursing and career college. This coed college is located in a very large city in an urban setting and is primarily a commuter campus. It offers certificate, associate and bachelor's degrees.",www.baystate.edu,Small,"1,075","$26,780","$26,780","122 Commonwealth Avenue, Boston, MA 02116",14:1,,
Rhode Island (Men's),13-5-3,0.72,7-1-0,Atlantic 10,Rhode Island,Kingston,Gareth Elliott,401-874-2560,Rams,Conference Standing: 1,"FR,JR,SR,JR,SO,SR,JR,SR,JR,FR,FR,JR,FR,SO,JR,SR,FR,FR,JR,FR,JR,FR",29,18,"A medium-sized, 4-year, public university. This coed college is located in a small town in a rural setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.uri.edu,Medium-sized,"13,589","$12,862","$28,852","45 Upper College Road, Kingston, RI 02881",16:1,Less selective,76
Saint Joseph's (Men's),7-7-4,0.50,2-5-1,Atlantic 10,Pennsylvania,Philadelphia,Don D'Ambra,610-660-1764,Hawks,Conference Standing: 11,"FR,FR,SO,SR,SO,SO,SO,SR,JR,SO,FR,FR,FR,SR,SR,SR,SO,SO,SO,FR,JR,FR,JR,SO,SO,FR,FR",18,22,"A small, 4-year, private liberal arts college. This coed college is located in a small town in a rural setting and is primarily a residential campus. It offers diploma, associate, bachelor's and master's degrees.",www.saintjoe.edu,Small,"1,142","$28,690","$28,690","1498 South College Avenue, Rensselaer, IN 47978",11:1,Somewhat selective,66
Saint Louis (Men's),14-5-2,0.74,5-1-2,Atlantic 10,Missouri,St. Louis,Mike McGinty,314--97-7-31 Ext.,Billikens,Conference Standing: 2,"SO,JR,SR,SR,JR,SR,SO,SR,FR,JR,SR,JR,SO,SO,FR,SR,SO,FR,FR,JR,SO,JR,FR,FR,FR,SO,FR,SO",36,19,"A medium-sized, 4-year, public university. This coed college is located in a very large city in an urban setting and is primarily a commuter campus. It offers certificate, bachelor's, master's and doctoral degrees.",www.umsl.edu,Medium-sized,"13,887","$9,474","$24,795","One University Boulevard, Saint Louis, MO 63121",17:1,Less selective,76
St. Bonaventure (Men's),1-15-0,0.06,0-8-0,Atlantic 10,New York,St. Bonaventure,Mel Mahler,716-244-7896,Bonnies,Conference Standing: 13,"SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,JR,SR,SO,SR,SO,SR,SR,SO,SR,SR,SR,SR,SR,SR",6,42,"A small, 4-year, private university. This coed college is located in a large town in a suburban setting and is primarily a residential campus. It offers bachelor's and master's degrees.",www.sbu.edu,Small,"1,771","$31,389","$31,389","3261 W. State Road, St. Bonaventure, NY 14778",11:1,Somewhat selective,70
VCU (Men's),7-8-5,0.47,4-1-3,Atlantic 10,Virginia,Richmond,Dave Giffard,804-869-1951,Rams,Conference Standing: 3,"SO,SR,JR,SR,SR,SR,SO,SR,SR,SO,SR,SO,FR,SR,SR,SR,SR,SR,SO,SR,JR,JR,SO,JR,SO,SO,SO,JR,SO,SO,SO",18,14,"A large, 4-year, public university. This coed college is located in a small city in an urban setting and is primarily a residential campus. It offers certificate, bachelor's, master's and doctoral degrees.",www.vcu.edu,Large,"23,962","$12,398","$29,847","821 West Franklin Street, Richmond, VA 23284",17:1,Somewhat selective,69
Boston College (Men's),5-8-3,0.38,1-6-1,Atlantic Coast,Massachusetts,Chestnut Hill,Ed Kelly,857-233-3586,Eagles,Conference Standing: 11,"JR,JR,JR,SR,SR,SR,SO,SR,FR,JR,SR,FR,FR,FR,SR,SO,JR,SO,SO,SR,SR,JR,FR,SR,FR,FR,SR,FR",19,21,"A medium-sized, 4-year, private university. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.bc.edu,Medium-sized,"9,154","$49,324","$49,324","140 Commonwealth Avenue, Chestnut Hill, MA 02467",12.5:1,Very selective,34
Clemson (Men's),12-7-3,0.63,5-2-1,Atlantic Coast,South Carolina,Clemson,Mike Noonan,864-656-1946,Tigers,Conference Standing: 4,"FR,JR,SR,FR,SO,JR,SO,SR,FR,JR,SR,FR,FR,FR,SO,SO,SO,SR,JR,SO,SR,SO,JR,JR,FR,SO,SO",37,21,"A large, 4-year, public university and college of engineering. This coed college is located in a large town in a rural setting and is primarily a residential campus. It offers certificate, bachelor's, master's and doctoral degrees.",www.clemson.edu,Large,"17,260","$13,546","$31,562","105 Sikes Hall, Clemson, SC 29634",--,Somewhat selective,52
Duke (Men's),9-9-1,0.50,4-4-0,Atlantic Coast,North Carolina,Durham,John Kerr,919-668-5734,Blue Devils,Conference Standing: 7,"SR,SR,FR,SR,SR,FR,FR,SR,SR,SR,JR,SR,SR,SR,JR,JR,SO,SR,SR,SR,FR,SO,SO,FR,SO,SR,SR,SR,SR,SR,SR,FR,JR",32,34,"A medium-sized, 4-year, private university. This coed college is located in a large city in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.duke.edu,Medium-sized,"6,626","$49,241","$49,241","2138 Campus Drive, Durham, NC 27708",7:1,Most selective,11
Louisville (Men's),11-8-3,0.58,4-3-1,Atlantic Coast,Kentucky,Louisville,Ken Lolla,502-472-4740,Cardinals,Conference Standing: 6,"SO,JR,SR,SR,JR,FR,SO,JR,SO,SR,SO,SO,FR,SR,SO,SO,SR,SR",31,22,"A large, 4-year, public university. This coed college is located in a very large city in an urban setting and is primarily a commuter campus. It offers certificate, associate, bachelor's, master's and doctoral degrees.",www.louisville.edu,Large,"15,962","$10,432","$24,320","2301 South Third Street, Louisville, KY 40292",17:1,Somewhat selective,74
NC State (Men's),7-7-4,0.50,1-4-3,Atlantic Coast,North Carolina,Raleigh,Kelly Findley,919-515-3013,Wolfpack,Conference Standing: 10,"FR,JR,SO,FR,SO,FR,SO,SR,FR,SR,FR,SO,JR,SO,JR,FR,JR,FR,SR,SR,SO,SR,FR,FR,JR,SO,SO,JR,FR,FR",28,23,"A large, 4-year, public university. This coed college is located in a large city in an urban setting and is primarily a residential campus. It offers associate, bachelor's, master's and doctoral degrees.",www.ncsu.edu,Large,"24,473","$8,581","$24,932","2101 Hillsborough Street, Raleigh, NC 27695",--,Somewhat selective,51
North Carolina (Men's),15-5-2,0.75,5-2-1,Atlantic Coast,North Carolina,Chapel Hill,Carlos Somoano,,Tar Heels,Conference Standing: 3,"SR,JR,SR,FR,SO,SO,SR,SR,SR,SR,JR,FR,SO,SR,SR,FR,SR,FR,SO,SR,SR,FR,FR,FR,SO,SO,JR,FR,SO,JR,FR,JR,SR,JR,JR",52,21,"A large, 4-year, public university. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers certificate, bachelor's, master's and doctoral degrees.",www.unc.edu,Large,"18,350","$8,336","$33,418","CB# 9100, 103 South Building, Chapel Hill, NC 27599",13:1,Very selective,29
Notre Dame (Men's),12-5-4,0.71,6-1-1,Atlantic Coast,Indiana,Notre Dame,Bobby Clark,574-532-0251,Fighting Irish,Conference Standing: 1,"FR,SR,SR,JR,SO,SR,SR,JR,SR,SR,SO,SO,SR,SO,SO,JR,JR,FR,SR,SO,FR,SR,SR,FR,SO,FR,SO,JR,FR,JR",35,18,"A medium-sized, 4-year, private university. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.nd.edu,Medium-sized,"8,448","$47,929","$47,929","220 Main Building, Notre Dame, IN 46556",11:1,Most selective,21
Pittsburgh (Men's),4-9-4,0.31,0-6-2,Atlantic Coast,Pennsylvania,Pittsburgh,Joe Luxbacher,412-995-8629,Panthers,Conference Standing: 12,"FR,FR,SO,SR,SO,SO,JR,SO,FR,JR,SR,SO,SO,FR,SR,FR,SR,FR,FR,SR,JR,JR,SO,JR,SR,JR",13,27,"A large, 4-year, public university. This coed college is located in a large city in an urban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.pitt.edu,Large,"18,757","$17,772","$28,168","4200 Fifth Avenue, Pittsburgh, PA 15260",14:1,Somewhat selective,53
Syracuse (Men's),16-4-1,0.80,5-2-1,Atlantic Coast,New York,Syracuse,Ian McIntyre,315-443-3025,Orange,Conference Standing: 2,"JR,FR,SO,SR,SR,SO,JR,SO,SR,JR,FR,FR,JR,SO,SO,JR,SR,SO,FR,JR,SR,SO,FR,SO,FR,JR,JR,JR,FR",37,12,"A medium-sized, 4-year, private university. This coed college is located in a small city in an urban setting and is primarily a residential campus. It offers certificate, associate, bachelor's, master's and doctoral degrees.",www.syr.edu,Medium-sized,"15,224","$43,318","$43,318","900 South Crouse Avenue, Syracuse, NY 13244",16:1,Somewhat selective,53
Virginia (Men's),13-6-4,0.68,3-3-2,Atlantic Coast,Virginia,Charlottesville,George Gelnovatch,434-981-4931,Cavaliers,Conference Standing: 8,"SO,SR,SR,SR,SR,JR,JR,SO,JR,SO,SR,SO,SR,SR,JR,FR,SR,SO,SO,SR,SR,SR,SR,SR,SO,JR,SO,SO,JR,FR,SO,JR",27,17,"A medium-sized, 4-year, public university. This coed college is located in a large town in a suburban setting and is primarily a residential campus. It offers associate, bachelor's, master's and doctoral degrees.",www.vsu.edu,Medium-sized,"4,498","$8,002","$17,258","1 Hayden Drive, Petersburg, VA 23806",13:1,Less selective,80
Virginia Tech (Men's),7-8-2,0.47,2-5-1,Atlantic Coast,Virginia,Blacksburg,Michael Brizendine,540-230-8942,Hokies,Conference Standing: 9,"FR,FR,FR,SR,SO,SO,FR,SO,JR,JR,SO,FR,FR,FR,FR,FR,FR,FR,SO,FR,FR,FR,FR,SR,FR,JR,FR",19,22,"A large, 4-year, public university. This coed college is located in a large town in a rural setting and is primarily a residential campus. It offers associate, bachelor's, master's and doctoral degrees.",www.vt.edu,Large,"24,247","$12,017","$28,048","800 Drillfield Drive, Blacksburg, VA 24060",16:1,Somewhat selective,73
Wake Forest (Men's),10-7-2,0.59,5-3-0,Atlantic Coast,North Carolina,Winston-Salem,Jay Vidovich,336-287-5783,Demon Deacons,Conference Standing: 5,"SO,JR,FR,SO,FR,SR,SO,FR,SO,JR,JR,SO,FR,SO,FR,FR,FR,SO,SO,FR,FR,SO,FR,FR,SO,SR,SO,FR",37,25,"A medium-sized, 4-year, private university. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers bachelor's, master's and doctoral degrees.",www.wfu.edu,Medium-sized,"4,867","$47,682","$47,682","1834 Wake Forest Road, Winston-Salem, NC 27106",11:1,Very selective,34
Florida Gulf Coast (Men's),7-7-5,0.50,3-1-1,Atlantic Sun,Florida,Fort Myers,Bob Butehorn,239-590-7668,Eagles,Conference Standing: 3,"JR,JR,SO,FR,JR,SR,JR,JR,JR,FR,SO,FR,SR,SO,SO,SR,FR,SO,FR,FR,SR,FR,FR,FR,SO,SO,JR",19,15,"A medium-sized, 4-year, public university. This coed college is located in a small city in a suburban setting and is primarily a residential campus. It offers associate, bachelor's, master's and doctoral degrees.",www.fgcu.edu,Medium-sized,"13,300","$6,118","$25,162","10501 FGCU Blvd South, Fort Myers, FL 33965",23:1,Somewhat selective,59
Jacksonville (Men's),4-12-0,0.25,1-5-0,Atlantic Sun,Florida,Jacksonville,Mauricio Ruiz,904-256-7420,Dolphins,Conference Standing: 7,"SO,SO,SO,SO,SO,JR,SR,JR,SR,JR,JR,SO,SO,SO,SO,SO,SO,FR,FR,FR,JR,SO,SO,FR,FR,FR,SO",15,27,"A medium-sized, 4-year, public university. This coed college is located in a small town in a rural setting and is primarily a commuter campus. It offers bachelor's, master's and doctoral degrees.",www.jsu.edu,Medium-sized,"7,647","$8,790","$17,280","700 Pelham Road North, Jacksonville, AL 36265",19:1,Less selective,83
Lipscomb (Men's),12-4-1,0.75,4-1-1,Atlantic Sun,Tennessee,Nashville,Charles Morrow,615-498-5366,Bisons,Conference Standing: 1,"SO,FR,FR,SO,SR,SR,FR,SR,SO,JR,SO,JR,JR,JR,JR,SO,FR,SR,SR,FR,JR,FR,SO,FR,JR,FR,SO,FR",33,24,"A medium-sized, 4-year, private university and liberal arts college. This coed college is located in a very large city in a suburban setting and is primarily a residential campus. It offers associate, bachelor's, master's and doctoral degrees.",www.lipscomb.edu,Medium-sized,"2,883","$28,624","$28,624","One University Park Drive, Nashville, TN 37204",12:1,Somewhat selective,56
North Florida (Men's),8-6-1,0.57,3-2-1,Atlantic Sun,Florida,Jacksonville,Derek Marinatos,864-915-9683,Osprey,Conference Standing: 4,"FR,JR,JR,SR,SR,SO,JR,SR,JR,JR,SO,SO,JR,JR,FR,JR,SR,JR,SR,SO,SO,SO,FR,SO,SO,SR",31,24,"A medium-sized, 4-year, public university. This coed college is located in a very large city in an urban setting and is primarily a residential campus. It offers associate, bachelor's, master's and doctoral degrees.",www.unf.edu,Medium-sized,"14,121","$6,385","$20,789","1 UNF Drive, Jacksonville, FL 32224",20:1,Somewhat selective,61
Northern Kentucky (Men's),6-10-4,0.38,1-4-1,Atlantic Sun,Kentucky,Highland Heights,John Basalyga,859-496-6394,Norse,Conference Standing: 6,"JR,SR,SR,JR,SR,SO,SR,FR,FR,JR,SO,FR,SR,JR,SR,SR,JR,FR,FR,JR,FR,SO,JR,FR,JR,FR,JR,FR,SO",17,31,"A medium-sized, 4-year, public university. This coed college is located in a small town in a suburban setting and is primarily a commuter campus. It offers certificate, associate, bachelor's, master's and doctoral degrees.",www.nku.edu,Medium-sized,"12,809","$8,856","$17,328","Nunn Drive, Highland Heights, KY 41099",17:1,Less selective,93
